グラフ中のタイトルをsに設定する	plt.title(s)
ダークターコイズ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darkturquoise')
リストxdataをマゼンタ色のヒストグラムで描画する	plt.hist(xdata, color='magenta')
リストxdataとリストydataの線幅nの破線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashed', linewidth=n)
赤いバツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='x', c='r')
データフレームdfのカラムcolとカラムcol2毎の分散	df.groupby([col, col2], as_index=False).var()
リストxdataとリストydataについて破線グラフを描画して、その色をパープルに設定する	plt.plot(xdata, ydata, linestyle='dash', color='purple')
データ列dsの年	ds.dt.year
ライトスカイブルー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lightskyblue')
破線グラフの色をダークシアグリーンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='darkseagreen')
s中にs2が含まれないか調べる	s2 not in s
zが0に近づくときのeの極限値を求める	sympy.limit(e, z, 0)
リストxdataとリストydataについて破線グラフを描画して、その色をグレーに設定する	plt.plot(xdata, ydata, linestyle='dash', color='gray')
インディゴ色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='indigo', alpha=0.5)
赤い折れ線グラフを描画する	plt.plot(xdata, ydata, color='r')
データフレームdfの第一四分位数	df.quantile(0.25)
折れ線グラフの四角マーカーの線幅をnに設定する	plt.plot(xdata, ydata, marker='s', markeredgewidth=n)
データフレームdfのリストalistカラム中にいくつ文字列valueがあるか数える	df[alist].isin([value]).sum()
既存のファイルfilenameをsの示すエンコーディングで追加できるようにオープンする]	open(filename, mode='a', encoding=s)
リストxdataをダークグレー色のヒストグラムで描画する	plt.hist(xdata, color='darkgrey')
日付adateが月曜日か調べる	adate.weekday() == 0
sのn番目以降にs2が含まれないか調べる	s.find(s2, start=n) == -1
リストxdataとリストydataについてダークスラテグレー色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkslategray')
整数nの各桁の総和	sum(map(int, str(int(n))))
リストxdataとリストydataについてダークレッド色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkred')
線幅nの一点鎖線グラフを描画する	plt.plot(xdata, ydata, linestyle='dashbot', linewidth=n)
リストxdataとリストydataについての散布図をサンディーブラウン色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='sandybrown', alpha=0.5)
リストxdataをライトイエロー色のヒストグラムで描画する	plt.hist(xdata, color='lightyellow')
データフレームdfのカラムcolの分	df[col].dt.minute
グラフにy=0の一点鎖線を付ける	plt.axhline(y=0, linestyle='dashbot')
散布図にミディアムシアグリーン色のマーカーを使う	plt.plot(xdata, ydata, c='mediumseagreen')
グラフのの中で日本語を表示できるようにする	sns.set(font='IPAexGothic')
データフレームdfをカラムcol毎にグループ化して、カラムcol2の平均値を求める	df.groupby(col)[col2].mean()
xをx2で割って切り捨てる	x // x2
リストxdataをスカイブルー色のヒストグラムで描画する	plt.hist(xdata, color='skyblue')
リストxdataとリストydataについてラベンダーブラッシュ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='lavenderblush')
シアン色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='cyan')
fにsを書き込む	f.write(s)
破線グラフの色を紺碧に設定する	plt.plot(xdata, ydata, linestyle='dash', color='azure')
タン色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='tan')
折れ線グラフの色をアクアマリンに設定する	plt.plot(xdata, ydata, color='aquamarine')
データフレームdfのの中で、カラムcolに重複があるか見る	df.duplicated(subset=col)
リストxdataとリストydataについての散布図をプラム色で描画する	plt.plot(xdata, ydata, c='plum')
ペールグリーン色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='palegreen', alpha=0.5)
リストxdataとリストydataの折れ線グラフに、赤い右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>', markerfacecolor='r')
データ列dsを1000の位で丸める	ds.round(-3)
リストxdataとリストydataについての散布図に黒い星マーカーを描画する	plt.plot(xdata, ydata, marker='*', c='k')
データフレームdfを100の位で丸めて、整数型にする	df.round(-2).astype(int)
ピーチパフ色のマーカーで散布図を描画する	plt.plot(xdata, ydata, c='peachpuff')
リストxdataとリストydataについての散布図をミディアムパープル色で描画する	plt.plot(xdata, ydata, c='mediumpurple')
リストxdataとリストydataの折れ線グラフに、青い大バツマーカーを描画する	plt.plot(xdata, ydata, marker='X', markerfacecolor='b')
データフレームdfのカラムcolの中央値	df[col].median()
リストxdataとリストydataについての散布図をライトスレイグレー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='lightslategrey', alpha=0.5)
データ列ds中にある文字列valueの合計を数える	ds.isin([value]).sum()
折れ線グラフの色をリネンに設定する	plt.plot(xdata, ydata, color='linen')
ダークオーキッド色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='darkorchid')
点線グラフの色を赤にする	plt.plot(xdata, ydata, linestyle='dotted', color=rgb)
アンティークホワイト色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='antiquewhite')
リストxdataとリストydataについて破線グラフを描画して、その色をパパイヤウィップに設定する	plt.plot(xdata, ydata, linestyle='dash', color='papayawhip')
リストxdataとリストydataについて折れ線グラフを描画して、その色をシルバーに設定する	plt.plot(xdata, ydata, color='silver')
ライトスレイグレー色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='lightslategrey')
alt(追加更新する	adict.update(adict2)
ブルーバイオレット色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='blueviolet')
黒いバツマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='x', c='k')
赤い右三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='>', c='r')
sのn番目より前にs2が含まれないか調べる	s.find(s2, end=n) == -1
オブジェクトobjは論理値クラスか調べる	isinstance(obj, bool)
散布図に黒い三角マーカーを使う	plt.plot(xdata, ydata, marker='^', c='k')
マゼンタ色でリストxdataについてのヒストグラムを描画する	plt.hist(xdata, color='magenta')
データフレームを表示するとき、ヘッダー行を左寄せに設定する	pd.set_option('colheader_justify', 'left')
リストxdataとリストydataについての散布図をライトグレー色で描画する	plt.plot(xdata, ydata, c='lightgrey')
散布図にミディアムブルー色のマーカーを使う	plt.plot(xdata, ydata, c='mediumblue')
リストxdataとリストydataについて散布図を描画して、マーカーの色をシャルトルーズに設定する	plt.plot(xdata, ydata, c='chartreuse')
sをカンマで区切る	s.split(',')
整数nをゼロパディングでn2桁の文字列に変換する	str(n).zfill(n2)
リストxdataとリストydataについて折れ線グラフを描画して、その色をダークシアグリーンに設定する	plt.plot(xdata, ydata, color='darkseagreen')
左三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='<')
データフレームdfのカラムcolとカラムcol2毎の個数	df.groupby([col, col2], as_index=False).count()
ベージュ色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='beige')
リストalistの要素をソートする	sorted(alist)
リストxdataとリストydataについての散布図をスレートブルー色で重なりを見やすく描画する	plt.plot(xdata, ydata, c='slateblue', alpha=0.5)
ファイルfilenameから拡張子なしのファイル名を使う	os.path.splitext(os.path.basename(filename))[0]
最初のプログラムを書く	print('Hello World')
リストxdataとリストydataについてダークオリーブグリーン色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='darkolivegreen')
リストxdataとリストydataについて破線グラフを描画して、その色をクリムゾンに設定する	plt.plot(xdata, ydata, linestyle='dash', color='crimson')
パパイヤウィップ色の折れ線グラフを描画する	plt.plot(xdata, ydata, color='papayawhip')
リストxdataとリストydataについての散布図に黒いポイントマーカーを描画する	plt.plot(xdata, ydata, marker='.', c='k')
